"filename", "language", "TypeScript", "CSS", "vue", "comment", "blank", "total"
"k:\Vue_Demo\WeTeam\src\api\userApi.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"k:\Vue_Demo\WeTeam\src\components\leftNav.vue", "vue", 0, 0, 60, 0, 3, 63
"k:\Vue_Demo\WeTeam\src\components\topNav.vue", "vue", 0, 0, 20, -1, 0, 19
"k:\Vue_Demo\WeTeam\src\components\userCart.vue", "vue", 0, 0, 6, 0, 3, 9
"k:\Vue_Demo\WeTeam\src\mockjs\navList.ts", "TypeScript", 147, 0, 0, 0, 1, 148
"k:\Vue_Demo\WeTeam\src\mockjs\outherUserList.ts", "TypeScript", 56, 0, 0, 0, 4, 60
"k:\Vue_Demo\WeTeam\src\mockjs\user.ts", "TypeScript", 28, 0, 0, 0, 1, 29
"k:\Vue_Demo\WeTeam\src\stores\module\homeStore.ts", "TypeScript", -1, 0, 0, 0, 0, -1
"k:\Vue_Demo\WeTeam\src\stores\module\userStore.ts", "TypeScript", 26, 0, 0, 4, 1, 31
"k:\Vue_Demo\WeTeam\src\stores\type\home.ts", "TypeScript", -3, 0, 0, 0, -1, -4
"k:\Vue_Demo\WeTeam\src\stores\type\homeType.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"k:\Vue_Demo\WeTeam\src\stores\type\userType.ts", "TypeScript", 18, 0, 0, 1, 1, 20
"k:\Vue_Demo\WeTeam\src\styles\base.css", "CSS", 0, 12, 0, 1, 3, 16
"k:\Vue_Demo\WeTeam\src\styles\iconFont\iconfont.css", "CSS", 0, 54, 0, 0, 16, 70
"k:\Vue_Demo\WeTeam\src\utils\debounce.ts", "TypeScript", 9, 0, 0, 9, 2, 20
"k:\Vue_Demo\WeTeam\src\utils\request.ts", "TypeScript", 22, 0, 0, 3, 5, 30
"k:\Vue_Demo\WeTeam\src\utils\storage.ts", "TypeScript", 76, 0, 0, 11, 6, 93
"k:\Vue_Demo\WeTeam\src\utils\throttle.ts", "TypeScript", 10, 0, 0, 9, 1, 20
"k:\Vue_Demo\WeTeam\src\utils\type\storageType.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"Total", "-", 398, 66, 86, 37, 50, 637
