"filename", "language", "TypeScript", "vue", "CSS", "comment", "blank", "total"
"k:\Vue_Demo\WeTeam\src\App.vue", "vue", 0, 16, 0, 0, 3, 19
"k:\Vue_Demo\WeTeam\src\api\userApi.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"k:\Vue_Demo\WeTeam\src\components\homeNav.vue", "vue", 0, 25, 0, 0, 3, 28
"k:\Vue_Demo\WeTeam\src\components\leftNav.vue", "vue", 0, 67, 0, 0, 8, 75
"k:\Vue_Demo\WeTeam\src\components\topNav.vue", "vue", 0, 157, 0, 3, 7, 167
"k:\Vue_Demo\WeTeam\src\components\userCart.vue", "vue", 0, 6, 0, 0, 3, 9
"k:\Vue_Demo\WeTeam\src\main.ts", "TypeScript", 16, 0, 0, 0, 4, 20
"k:\Vue_Demo\WeTeam\src\mockjs\navList.ts", "TypeScript", 147, 0, 0, 0, 1, 148
"k:\Vue_Demo\WeTeam\src\mockjs\outherUserList.ts", "TypeScript", 56, 0, 0, 0, 4, 60
"k:\Vue_Demo\WeTeam\src\mockjs\user.ts", "TypeScript", 28, 0, 0, 0, 1, 29
"k:\Vue_Demo\WeTeam\src\router\index.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"k:\Vue_Demo\WeTeam\src\stores\module\homeStore.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"k:\Vue_Demo\WeTeam\src\stores\module\userStore.ts", "TypeScript", 26, 0, 0, 4, 1, 31
"k:\Vue_Demo\WeTeam\src\stores\type\homeType.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"k:\Vue_Demo\WeTeam\src\stores\type\userType.ts", "TypeScript", 18, 0, 0, 1, 1, 20
"k:\Vue_Demo\WeTeam\src\styles\base.css", "CSS", 0, 0, 158, 3, 14, 175
"k:\Vue_Demo\WeTeam\src\styles\iconFont\iconfont.css", "CSS", 0, 0, 76, 0, 22, 98
"k:\Vue_Demo\WeTeam\src\styles\tailwindcss.css", "CSS", 0, 0, 3, 0, 2, 5
"k:\Vue_Demo\WeTeam\src\utils\debounce.ts", "TypeScript", 9, 0, 0, 9, 2, 20
"k:\Vue_Demo\WeTeam\src\utils\encrypt.ts", "TypeScript", 32, 0, 0, 13, 7, 52
"k:\Vue_Demo\WeTeam\src\utils\request.ts", "TypeScript", 22, 0, 0, 3, 5, 30
"k:\Vue_Demo\WeTeam\src\utils\storage.ts", "TypeScript", 80, 0, 0, 17, 6, 103
"k:\Vue_Demo\WeTeam\src\utils\throttle.ts", "TypeScript", 10, 0, 0, 9, 1, 20
"k:\Vue_Demo\WeTeam\src\views\HomeView.vue", "vue", 0, 10, 0, 0, 3, 13
"Total", "-", 485, 281, 237, 62, 108, 1173
