"filename", "language", "TypeScript", "vue", "CSS", "HTML", "comment", "blank", "total"
"k:\Vue_Demo\WeTeam\src\App.vue", "vue", 0, 25, 0, 0, 0, 4, 29
"k:\Vue_Demo\WeTeam\src\api\navApi.ts", "TypeScript", 11, 0, 0, 0, 2, 2, 15
"k:\Vue_Demo\WeTeam\src\api\userApi.ts", "TypeScript", 11, 0, 0, 0, 2, 3, 16
"k:\Vue_Demo\WeTeam\src\components\Login.vue", "vue", 0, 230, 0, 0, 2, 12, 244
"k:\Vue_Demo\WeTeam\src\components\homeNav.vue", "vue", 0, 25, 0, 0, 0, 3, 28
"k:\Vue_Demo\WeTeam\src\components\leftFollowItem.vue", "vue", 0, 96, 0, 0, 0, 4, 100
"k:\Vue_Demo\WeTeam\src\components\userCart.vue", "vue", 0, 6, 0, 0, 0, 3, 9
"k:\Vue_Demo\WeTeam\src\demo\demo.html", "HTML", 0, 0, 0, 40, 0, 4, 44
"k:\Vue_Demo\WeTeam\src\layout\leftNav.vue", "vue", 0, 67, 0, 0, 0, 6, 73
"k:\Vue_Demo\WeTeam\src\layout\main.vue", "vue", 0, 6, 0, 0, 0, 3, 9
"k:\Vue_Demo\WeTeam\src\layout\topNav.vue", "vue", 0, 167, 0, 0, 3, 5, 175
"k:\Vue_Demo\WeTeam\src\main.ts", "TypeScript", 16, 0, 0, 0, 0, 4, 20
"k:\Vue_Demo\WeTeam\src\mockjs\navList.ts", "TypeScript", 147, 0, 0, 0, 0, 1, 148
"k:\Vue_Demo\WeTeam\src\mockjs\outherUserList.ts", "TypeScript", 56, 0, 0, 0, 0, 4, 60
"k:\Vue_Demo\WeTeam\src\mockjs\user.ts", "TypeScript", 28, 0, 0, 0, 0, 1, 29
"k:\Vue_Demo\WeTeam\src\router\index.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"k:\Vue_Demo\WeTeam\src\stores\module\homeStore.ts", "TypeScript", 18, 0, 0, 0, 0, 4, 22
"k:\Vue_Demo\WeTeam\src\stores\module\userStore.ts", "TypeScript", 30, 0, 0, 0, 5, 1, 36
"k:\Vue_Demo\WeTeam\src\stores\type\homeType.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"k:\Vue_Demo\WeTeam\src\stores\type\userType.ts", "TypeScript", 18, 0, 0, 0, 1, 1, 20
"k:\Vue_Demo\WeTeam\src\styles\base.css", "CSS", 0, 0, 169, 0, 3, 16, 188
"k:\Vue_Demo\WeTeam\src\styles\iconFont\iconfont.css", "CSS", 0, 0, 85, 0, 0, 25, 110
"k:\Vue_Demo\WeTeam\src\styles\tailwindcss.css", "CSS", 0, 0, 3, 0, 0, 2, 5
"k:\Vue_Demo\WeTeam\src\utils\debounce.ts", "TypeScript", 9, 0, 0, 0, 9, 2, 20
"k:\Vue_Demo\WeTeam\src\utils\encrypt.ts", "TypeScript", 32, 0, 0, 0, 13, 7, 52
"k:\Vue_Demo\WeTeam\src\utils\request.ts", "TypeScript", 22, 0, 0, 0, 3, 5, 30
"k:\Vue_Demo\WeTeam\src\utils\storage.ts", "TypeScript", 80, 0, 0, 0, 17, 6, 103
"k:\Vue_Demo\WeTeam\src\utils\throttle.ts", "TypeScript", 10, 0, 0, 0, 9, 1, 20
"k:\Vue_Demo\WeTeam\src\views\HomeView.vue", "vue", 0, 26, 0, 0, 0, 4, 30
"Total", "-", 504, 648, 257, 40, 69, 136, 1654
